type,title,description,organization,level,area_prefecture,area_city,industry,target_type,max_amount,subsidy_rate,url,source_url
補助金,"鶴岡市スポットワーク活用支援事業補助金のご案内","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/jigyosha/spotwork2025.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"【R7募集終了】企業研修助成金をご活用ください","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/jigyosha/syouko01202210131533.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"鶴岡市オンライン採用活動支援���業補助金のご案内","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/kurashi/shigoto/jigyosha/saiyoukatsudou.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"鶴岡市正社員化促進事業奨励金事業のご案内","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/kurashi/shigoto/jigyosha/seisyain20190401.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"【募集終了しました】令和7年度事業場設置助成金のお知らせ","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/kigyoricchi/syoko_R7jigyojojosei.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和7年度鶴岡市新規創業等支援補助金＜事業構想等事業化型＞について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/syouko-sogyohojo02.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和4年度生産設備等導入支援事業補助金成果報告書の提出について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/R4seisansetsubi.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和5年度鶴岡市がんばる中小企業応援事業補助金フォローアップアンケート・成果報告書の提出について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/R4shinbunya.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"【募集終了しました】令和7年度鶴岡市がんばる中小企業応援事業補助金について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/syouko_ganbaru.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和7年度 鶴岡市中心市街地賑わいイベント支援事業補助金について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/shokueventshien3.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和7年度　空き店舗解消リフォーム事業補助金の募集について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/syouko0120190823.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"令和7年度鶴岡市新規創業等支援補助金＜新規創業・移住開業型＞について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/shokoshien/syouko-sogyohojo.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"鶴岡市松くい虫被害木伐倒費補助金について","鶴岡市の公式サイトより自動取得された補助金・助成金情報です。",鶴岡市,prefecture,山形県,鶴岡市,旅館業,法人,,,https://www.city.tsuruoka.lg.jp/sangyo/forestry/nousan01202504231518.html,https://www.city.tsuruoka.lg.jp/sangyo/
補助金,"【厚生労働省】両立支援等助成金のご案内","酒田市の公式サイトより自動取得された補助金・助成金情報です。",酒田市,prefecture,山形県,酒田市,旅館業,法人,,,https://www.city.sakata.lg.jp/sangyo/roudo/shoko022023101713490.html,https://www.city.sakata.lg.jp/sangyo/
補助金,"酒田市開業支援補助金","酒田市の公式サイトより自動取得された補助金・助成金情報です。",酒田市,prefecture,山形県,酒田市,旅館業,法人,,,https://www.city.sakata.lg.jp/sangyo/sogyo/startup-follow_up.html,https://www.city.sakata.lg.jp/sangyo/
補助金,"山形県被災中小企業支援事業費補助金について","新庄市の公式サイトより自動取得された補助金・助成金情報です。",新庄市,prefecture,山形県,新庄市,旅館業,法人,,,https://www.city.shinjo.yamagata.jp/./s011/020/030/20240924103457.html,https://www.city.shinjo.yamagata.jp/
補助金,"補助金・支援","寒河江市の公式サイトより自動取得された補助金・助成金情報です。",寒河江市,prefecture,山形県,寒河江市,旅館業,法人,,,https://www.city.sagae.yamagata.jp/jigyou/hojyoshien/index.html,https://www.city.sagae.yamagata.jp/
補助金,"補助金 - 上山市ホームページ","上山市の公式サイトより自動取得された補助金・助成金情報です。",上山市,prefecture,山形県,上山市,旅館業,法人,,,https://www.city.kaminoyama.yamagata.jp/life/6/115/,https://www.city.kaminoyama.yamagata.jp/
補助金,"かみのやま産農産物販路拡大推進事業費補助金","上山市の公式サイトより自動取得された補助金・助成金情報です。",上山市,prefecture,山形県,上山市,旅館業,法人,,,https://www.city.kaminoyama.yamagata.jp/soshiki/11/hanro-kakudai7.html,https://www.city.kaminoyama.yamagata.jp/
補助金,"令和7年度 長井市地域脱炭素プラン推進事業費補助金について","長井市の公式サイトより自動取得された補助金・助成金情報です。",長井市,prefecture,山形県,長井市,旅館業,法人,,,https://www.city.nagai.yamagata.jp/boshu/14038.html,https://www.city.nagai.yamagata.jp/
補助金,"令和7年度 長井市起業・創業支援事業補助金について","長井市の公式サイトより自動取得された補助金・助成金情報です。",長井市,prefecture,山形県,長井市,旅館業,法人,,,https://www.city.nagai.yamagata.jp/boshu/14889.html,https://www.city.nagai.yamagata.jp/
補助金,"長井市重要文化的景観整備事業費補助金について","長井市の公式サイトより自動取得された補助金・助成金情報です。",長井市,prefecture,山形県,長井市,旅館業,法人,,,https://www.city.nagai.yamagata.jp/boshu/13601.html,https://www.city.nagai.yamagata.jp/
補助金,"産業・仕事","尾花沢市の公式サイトより自動取得された補助金・助成金情報です。",尾花沢市,prefecture,山形県,尾花沢市,旅館業,法人,,,https://www.city.obanazawa.yamagata.jp/sangyo/joseikin-hojokin/,https://www.city.obanazawa.yamagata.jp/josei/
補助金,"山辺町老朽危険空き家解体事業補助金について","山辺町の公式サイトより自動取得された補助金・助成金情報です。",山辺町,prefecture,山形県,山辺町,旅館業,法人,,,https://www.town.yamanobe.yamagata.jp/soshiki/10/003.html,https://www.town.yamanobe.yamagata.jp/
補助金,"支援制度一覧（補助金・助成金）","河北町の公式サイトより自動取得された補助金・助成金情報です。",河北町,prefecture,山形県,河北町,旅館業,法人,,,https://www.town.kahoku.yamagata.jp/3680.html,https://www.town.kahoku.yamagata.jp/
補助金,"補助金 - 西川町ホームページ","西川町の公式サイトより自動取得された補助金・助成金情報です。",西川町,prefecture,山形県,西川町,旅館業,法人,,,https://www.town.nishikawa.yamagata.jp/life/1/7/26/,https://www.town.nishikawa.yamagata.jp/
